blockIdx.x: 0, blockIdx.y: 0, iteration: 29, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 27, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 24, sparsity: 0.117188
blockIdx.x: 0, blockIdx.y: 0, iteration: 30, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 28, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 25, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 31, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 29, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 32, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 26, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 63, iteration: 30, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 33, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 27, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 63, iteration: 31, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 34, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 32, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 28, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 35, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 33, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 29, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 0, iteration: 36, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 34, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 37, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 30, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 63, iteration: 35, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 38, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 31, sparsity: 0.125000
blockIdx.x: 0, blockIdx.y: 63, iteration: 36, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 39, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 37, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 32, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 40, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 38, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 33, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 41, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 39, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 42, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 34, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 40, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 43, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 35, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 41, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 44, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 42, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 36, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 45, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 43, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 37, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 46, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 44, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 38, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 47, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 45, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 48, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 39, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 46, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 49, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 32, iteration: 40, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 47, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 0, iteration: 50, sparsity: 0.000000
blockIdx.x: 0, blockIdx.y: 63, iteration: 48, sparsity: 0.117188
